연번,지역,요양기관명칭,종별,주소,전화번호
20,강남구,미래와희망산부인과의원,의원,서울특별시 강남구 언주로 707(논현동),02-3015-8806
21,서초구,아이수산부인과의원,의원,서울특별시 서초구 동작대로 108 (방배동),02-3483-2255
22,서초구,함춘여성의원,의원,서울특별시 서초구 서초중앙로8길 10 (서초동),02-522-0123
23,성북구,우리기쁜산부인과의원,의원,서울특별시 성북구 종암로 147 (종암동),02-2039-1000
24,마포구,서울라헬여성의원,의원,서울특별시 마포구 마포대로 109 (공덕동),02-3286-7500
25,구로구,서울아가온여성의원,의원,서울특별시 구로구 디지털로32길 79 (구로동),02-864-7500
26,강남구,엠여성의원,의원,서울특별시 강남구 테헤란로 407 (삼성동 ),02-6188-0070
27,송파구,사랑아이여성의원,의원,서울특별시 송파구 백제고분로 69 (잠실동),02-419-7501
28,서초구,연세더블유산부인과의원,의원,서울특별시 서초구 반포대로 111 (서초동),02-587-2330
29,중구,(의)성광의료재단 차여성의원,의원,서울특별시 중구 한강대로 416 (남대문로5가),02-2002-0300
30,송파구,미래연여성의원,의원,서울특별시 송파구 올림픽로35다길 42 (신천동),02-6012-2220
31,강서구,에이치아이여성의원,의원,서울특별시 강서구 강서로 463 (마곡동),02-3662-0401
32,중랑구,장스여성병원,병원,서울특별시 중랑구 용마산로117길 49 (망우동),02-490-4000
33,강동구,서울아이앤여성의원,의원,서울특별시 강동구 천호대로 1053 (천호동),02-6953-7119
34,강서구,감자와눈사람여성의원,의원,서울특별시 강서구 마곡중앙5로 22 (마곡동),02-467-6727
35,강남구,베스트오브미여성의원,의원,서울특별시 강남구 강남대로 390 (역삼동),02-6287-3000
36,도봉구,서울아이나여성의원,의원,서울특별시 도봉구 마들로13길 61 (창동),02-6077-8833
37,부산서구,부산대학교병원,상급종합병원,부산광역시 서구 구덕로 179 (아미동1가),051-240-7000
38,부산진구,인제대학교부산백병원,상급종합병원,부산광역시 부산진구 복지로 75,051-890-6114
39,부산동구,재단법인일신기독교선교회 일신기독병원,종합병원,부산광역시 동구 정공단로 27 (좌천동),051-630-0300
40,부산서구,동아대학교병원,상급종합병원,부산광역시 서구 대신공원로 26 (동대신동3가),051-240-2400
41,부산동구,좋은문화병원,종합병원,부산광역시 동구 범일로 119 (범일동),051-644-2002
42,부산해운대구,인제대학교 해운대백병원,종합병원,부산광역시 해운대구 해운대로 875 (좌동),051-797-0100
43,부산동래구,세화병원,병원,부산광역시 동래구 미남로132번길 28 (온천동),051-505-1333
44,부산북구,미래로병원,병원,부산광역시 북구 금곡대로 15 (덕천동),051-330-5000
45,부산연제구,연제일신병원,병원,부산광역시 연제구 고분로 6 (연산동),051-862-2002
46,부산해운대구,삼성제일산부인과의원,의원,부산광역시 해운대구 해운대로 369 (우동),051-747-3999
47,부산연제구,의료법인마리아의료재단 마리아의원,의원,부산광역시 연제구 월드컵대로 125 (연산동),051-441-6555
48,부산사하구,이룸여성의원,의원,부산광역시 사하구 낙동남로 1417 (하단동),051-803-2616
49,부산동래구,본베베여성의원,의원,부산광역시 동래구 중앙대로 1325 (온천동),051-714-6083
50,부산진구,리오라여성의원,의원,부산광역시 부산진구 중앙대로 736 (부전동),051-714-1930
51,부산해운대구,센텀이룸여성의원,의원,부산광역시 해운대구 센텀2로 20 (우동),051-758-8275
52,안산단원구,고려대학교의과대학부속안산병원,상급종합병원,경기도 안산시 단원구 적금로 123 (고잔동),031-1577-7516
53,인천남동구,의료법인 길의료재단 길병원,상급종합병원,인천광역시 남동구 남동대로774번길 21-0 (구월동),
54,수원영통구,아주대학교병원,상급종합병원,경기도 수원시 영통구 월드컵로 164 (원천동),031-219-5114
55,성남분당구,차의과학대학교분당차병원,종합병원,경기도 성남시 분당구 야탑로 59 (야탑동),031-780-5000
56,안양만안구,효산의료재단 안양샘병원,종합병원,경기도 안양시 만안구 삼덕로 9 (안양동),031-467-9717
57,고양일산서구,인제대학교일산백병원,종합병원,경기도 고양시 일산서구 주화로 170 (대화동),031-910-7114
58,성남분당구,분당서울대학교병원,상급종합병원,경기도 성남시 분당구 구미로173번길 82 (구미동),031-787-2114
59,고양일산동구,동국대학교일산불교병원,종합병원,경기도 고양시 일산동구 동국로 27 (식사동),031-1577-7000
60,고양일산동구,의료법인성광의료재단일산차병원,종합병원,경기도 고양시 일산동구 중앙로 1205 (장항동),031-782-8300
61,군포시,산본제일병원,병원,경기도 군포시 산본로 374 (산본동),031-396-3301
62,고양일산동구,그레이스병원,병원,경기도 고양시 일산동구 중앙로 1073 (백석동),031-901-4000
63,수원영통구,시온여성병원,병원,경기도 수원시 영통구 반달로 107 (영통동),031-201-0700
64,고양일산동구,허유재병원,병원,경기도 고양시 일산동구 중앙로 1317 (장항동),031-817-1100
65,부천원미구,서울여성병원,병원,경기도 부천시 원미구 길주로 84 (상동),032-230-3000
66,인천미추홀구,의료법인 아인의료재단 아인병원,병원,"인천광역시 미추홀구 경인로 372, 201동 (주안동)",032-247-2000
67,수원팔달구,쉬즈메디병원,병원,경기도 수원시 팔달구 장다리로 288 (인계동),031-231-7300
68,의정부시,신여성병원,병원,경기도 의정부시 시민로 50 (의정부동),031-879-3800
69,성남분당구,분당제일여성병원,병원,경기도 성남시 분당구 서현로180번길 27 (서현동),031-725-8500
70,인천서구,청라여성병원,병원,인천광역시 서구 중봉대로 602  (연희동),032-716-6000
71,수원권선구,세인트마리여성병원,병원,경기도 수원시 권선구 금곡로197번길 70 (금곡동),031-289-3000
72,이천시,양정분산부인과의원,의원,경기도 이천시 이섭대천로 1186 (중리동),031-635-5300
73,이천시,마리나산부인과의원,의원,경기도 이천시 경충대로 2564 (중리동),031-637-0552
74,평택시,지엔산부인과의원,의원,경기도 평택시 비전5로 3 (비전동),031-668-0075
75,부천원미구,의료법인마리아의료재단마리아의원,의원,"경기도 부천시 원미구 길주로 205, 솔라리움A동 (중동)",032-361-6555
76,안양동안구,의료법인 마리아의료재단 마리아의원,의원,경기도 안양시 동안구 동안로 120 (호계동),031-470-7600
77,고양일산동구,의료법인마리아의료재단마리아의원,의원,경기도 고양시 일산동구 중앙로 1060 (백석동),031-924-6555
78,원주시,연세대학교 원주세브란스기독병원,상급종합병원,강원특별자치도 원주시 일산로 20-0 (일산동),033-741-0114
79,춘천시,강원대학교병원,종합병원,강원특별자치도 춘천시 백령로 156 (효자동),033-258-2000
80,원주시,연세순풍산부인과의원,의원,강원특별자치도 원주시 장미공원길 43-6 (단계동),033-745-0199
81,강릉시,아이앤맘산부인과의원,의원,강원특별자치도 강릉시 옥가로 21 (옥천동),033-648-8114
82,춘천시,아름다운산부인과의원,의원,강원특별자치도 춘천시 터미널길 21 (온의동),033-244-7800
83,청주서원구,모태안여성병원,병원,충청북도 청주시 서원구 복대로17번길 57-0,043-272-0001
84,청주서원구,엠에스여성의원,의원,충청북도 청주시 서원구 사직대로 101 (사창동),043-262-8540
85,대전중구,충남대학교병원,상급종합병원,대전광역시 중구 문화로 282 (대사동) ,042-1599-7123
86,대전서구,학교법인 을지학원 대전을지대학교병원,종합병원,대전광역시 서구 둔산서로 95 (둔산동),042-611-3000
87,홍성군,충청남도 홍성의료원,종합병원,충청남도 홍성군 홍성읍 조양로 224,041-630-6114
88,대전서구,학교법인 건양교육재단 건양대학교병원,상급종합병원,대전광역시 서구 관저동로 158 (관저동),042-600-9999
89,세종시,세종충남대학교병원,종합병원,세종특별자치시 보듬7로 20 (도담동),1800-3114
90,대전서구,서울여성병원,병원,대전광역시 서구 문정로 7 (둔산동),042-488-8275
91,천안서북구,혜성산부인과병원,병원,충청남도 천안시 서북구 미라2길 18-11 (쌍용동),041-572-4567
92,천안서북구,앙즈로여성병원,병원,충청남도 천안시 서북구 불당33길 1 (불당동),041-576-5700
93,세종시,트리니움여성병원,병원,세종특별자치시 한누리대로 1934 (반곡동),044-270-0114
94,대전서구,세브란스산부인과의원,의원,대전광역시 서구 문정로 88 (탄방동),042-485-3091
95,대전서구,의료법인마리아의료재단마리아의원,의원,"대전광역시 서구 청사로 148 (둔산동, 매그놀리아)",042-522-6555
96,대전서구,미즈의원,의원,대전광역시 서구 문정로2번길 95 (탄방동),042-488-2255
97,천안서북구,이은희산부인과의원,의원,충청남도 천안시 서북구 불당33길 24 (불당동),041-567-0020
98,천안서북구,라팡산부인과의원,의원,충청남도 천안시 서북구 불당21로 67-18 (불당동),041-567-7575
99,아산시,드림아이여성의원,의원,충청남도 아산시 배방읍 희망로46번길 45-17,041-533-6200
100,전주덕진구,전북대학교병원,상급종합병원,전라북도 전주시 덕진구 건지로 20 (금암동),063-250-1129
101,전주완산구,재단법인예수병원유지재단예수병원,종합병원,전라북도 전주시 완산구 서원로 365 (중화산동1가),063-230-8114
102,전주덕진구,대자인병원,종합병원,전라북도 전주시 덕진구 견훤로 390 (우아동3가),063-240-2000
103,군산시,미래와여성산부인과의원,의원,전라북도 군산시 문화로 164 (수송동),063-441-1100
104,익산시,제일산부인과의원,의원,전라북도 익산시 동서로 231 (남중동),063-840-7500
105,전주덕진구,한별여성의원,의원,전북특별자치도 전주시 덕진구 견훤로 215 (인후동1가),063-244-3559
106,전주덕진구,솔빛산부인과의원,의원,전라북도 전주시 덕진구 송천중앙로 169 (송천동1가),063-277-3477
107,전주완산구,새란산부인과의원,의원,전라북도 전주시 완산구 홍산로 250 (효자동3가),063-227-0135
108,광주동구,전남대학교병원,상급종합병원,광주광역시 동구 제봉로 42 (학동),062-1899-0000
109,광주동구,조선대학교병원,상급종합병원,광주광역시 동구 필문대로 365 (학동),062-220-3321
110,광주서구,시엘병원,병원,광주광역시 서구 무진대로 957 (광천동),062-368-1700
111,순천시,미즈여성아동병원,병원,전라남도 순천시 조례1길 10-26 (조례동),061-720-8022
112,순천시,의료법인내일의료재단 현대여성아동병원,병원,전라남도 순천시 장선배기1길 8 (조례동),061-720-1111
113,광주서구,프레메디산부인과의원,의원,광주광역시 서구 무진대로 950 (농성동),062-363-6655
114,광주서구,광주미래와희망산부인과의원,의원,광주광역시 서구 죽봉대로 68 (농성동),062-361-3344
115,대구중구,경북대학교병원,상급종합병원,대구광역시 중구 동덕로 130 (삼덕동2가),053-200-5114
116,대구달서구,계명대학교동산병원,상급종합병원,대구광역시 달서구 달구벌대로 1035 (신당동),1577-6622
117,안동시,경상북도안동의료원,종합병원,경상북도 안동시 태사2길 55 (북문동),054-850-6000
118,대구중구,계명대학교대구동산병원,종합병원,대구광역시 중구 달성로 56 (동산동),053-250-8114
119,포항북구,여성아이병원,병원,경상북도 포항시 북구 우창동로22번길 7 (우현동),054-255-5000
120,포항북구,의료법인삼정의료재단포항여성병원,병원,경상북도 포항시 북구 포스코대로 269 (죽도동),054-274-7775
121,대구수성구,의료법인경동의료재단효성병원,병원,대구광역시 수성구 수성로 194 (중동),053-766-7070
122,대구달서구,달서미즈맘병원,병원,대구광역시 달서구 월배로 62 (진천동),053-609-5000
123,대구동구,의료법인마리아의료재단 마리아의원,의원,대구광역시 동구 동부로22길 2 (신천동),053-943-6555
124,대구중구,대구조이맘산부인과의원,의원,대구광역시 중구 중앙대로 359  (남산동),053-254-5252
125,포항남구,아이맘산부인과의원,의원,경상북도 포항시 남구 중흥로 82 (상도동),054-277-1303
126,대구수성구,이은지마리산부인과의원,의원,대구광역시 수성구 달구벌대로 2397 (범어동),053-745-5888
127,구미시,장태기드림산부인과의원,의원,경상북도 구미시 신시로 59 (형곡동),054-457-6699
128,대구중구,대구차여성의원,의원,대구광역시 중구 달구벌대로 2095 (덕산동),053-222-4200
129,대구중구,미라클여성의원,의원,대구광역시 중구 태평로 160 (북성로1가),053-424-7700
130,진주시,경상국립대학교병원,상급종합병원,경상남도 진주시 강남로 79 (칠암동),055-750-8000
131,울산동구,학교법인 울산공업학원 울산대학교병원,상급종합병원,울산광역시 동구 대학병원로 25 (전하동),052-250-7000
132,창원의창구,창원한마음병원,종합병원,경상남도 창원시 의창구 용동로57번길 8 (사림동),055-225-0000
133,창원성산구,창원경상국립대학교병원,종합병원,경상남도 창원시 성산구 삼정자로 11 (성주동),055-214-2000
134,울산남구,의료법인정우의료재단프라우메디병원,병원,울산광역시 남구 삼산중로 94 (삼산동),052-226-7114
135,김해시,우리여성병원,병원,경상남도 김해시 내외중앙로 91 (내동),055-321-0114
136,진주시,가야자모의원,의원,경상남도 진주시 진주대로 869 (주약동),055-758-2222
137,창원의창구,엘르메디여성의원,의원,경상남도 창원시 의창구 서상로 1 (동정동),055-253-2111
138,울산남구,마마파파베이비산부인과의원,의원,울산광역시 남구 삼산로 247 (달동),052-258-6006
139,제주시,엘산부인과의원,의원,제주특별자치도 제주시 중앙로 352 (이도이동),064-726-6555
140,화성시,심현남동탄제일산부인과의원,의원,경기도 화성시 동탄반석로 196 (반송동),031-8003-3388
141,인천부평구,삼성미즈산부인과의원,의원,인천광역시 부평구 부평대로 93 (부평동),032-516-3838
142,부천원미구,삼성미래산부인과의원,의원,경기도 부천시 원미구 부흥로 270 (중동),032-662-6100
143,안산단원구,연세아이소망여성의원,의원,경기도 안산시 단원구 고잔로 102 (고잔동),031-365-5245
144,인천미추홀구,아이소망산부인과의원,의원,인천광역시 미추홀구 미추로 56 (숭의동),032-883-3643
145,화성시,디온여성의원,의원,경기도 화성시 동탄오산로 82 (오산동),031-304-0060
146,용인수지구,의료법인마리아의료재단수지마리아의원,의원,경기도 용인시 수지구 신수로 767 (동천동),031-8019-5555
147,평택시,예일산부인과의원,의원,경기도 평택시 중앙로 146-1 (합정동),031-656-3885
148,인천남동구,서울아이비에프여성의원,의원,인천광역시 남동구 인하로507번길 63 (구월동),032-716-6663
149,인천남동구,서연아이여성의원,의원,인천광역시 남동구 선수촌공원로 36 (구월동),032-464-5800
150,수원영통구,아이오라여성의원,의원,경기도 수원시 영통구 영통로 237 (신동),031-205-5255
151,평택시,이정래산부인과의원,의원,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 (비전동)",031-8054-0015
152,화성시,의료법인상운의료재단(분소) 동탄제일아이희망의원,의원,경기도 화성시 삼성1로 130 (석우동),031-613-7797
153,하남시,서울마리산부인과의원,의원,경기도 하남시 신평로 45 (신장동),031-791-3314
154,성남분당구,연세아이봄여성의원,의원,경기도 성남시 분당구 정자일로 1 (금곡동),031-607-1000
